,Year,Month,Region,Model,Estimated_Deliveries,Production_Units,Avg_Price_USD,Battery_Capacity_kWh,Range_km,CO2_Saved_tons,Source_Type,Charging_Stations,Prod_Deliv_Ratio,CO2_per_unit,Deliveries_per_station,YearMonth,Lag_Deliveries,Rolling_3m_Deliveries,Delivery_Growth_Rate,Price_per_kWh
801,2020,10,North America,Model S,10348,10789,53294.28,100,583,904.93,Interpolated (Month),13353,1.0426169308078856,0.08387524330336453,0.7749569385156894,2020-10,11801.0,12714.333333333334,-0.12312515888484021,532.9428
802,2017,3,Europe,Cybertruck,15491,16526,64642.98,100,552,1282.65,Interpolated (Month),13123,1.066812988186689,0.07761406268909597,1.180446544235312,2017-3,11152.0,13307.666666666666,0.38907819225251083,646.4298
803,2020,9,Middle East,Cybertruck,7584,8336,80383.42,100,590,671.18,Estimated (Region),13866,1.09915611814346,0.0805158349328215,0.5469493725659887,2020-9,8629.0,7938.333333333333,-0.1211032564607718,803.8342
804,2018,7,Europe,Model S,12659,12998,105825.98,60,350,664.6,Estimated (Region),9563,1.026779366458646,0.05113094322203416,1.3237477778939664,2018-7,15491.0,13100.666666666666,-0.18281582854560707,1763.7663333333333
805,2024,9,North America,Model 3,19606,21050,97773.53,100,555,1632.2,Interpolated (Month),6940,1.0736509231867795,0.07753919239904988,2.82507204610951,2024-9,10348.0,13918.333333333334,0.894665635871666,977.7352999999999
806,2017,8,Middle East,Model 3,11639,12722,101957.72,75,418,729.77,Estimated (Region),5339,1.093049231033594,0.05736283603207043,2.1799962539801463,2017-8,7584.0,9284.0,0.5346782700421941,1359.4362666666666
807,2024,9,North America,Model Y,4373,4733,68988.8,120,696,456.54,Interpolated (Month),14726,1.0823233478161445,0.09645890555672935,0.2969577617818824,2024-9,19606.0,11442.333333333334,-0.7769560338671835,574.9066666666666
808,2015,10,Europe,Model S,20529,20625,68358.48,120,695,2140.15,Estimated (Region),3617,1.0046763115592576,0.10376484848484849,5.67569809234172,2015-10,12659.0,16226.333333333334,0.6216920767833163,569.654
809,2023,8,North America,Model S,10325,10679,58513.6,82,465,720.17,Official (Quarter),6065,1.0342857142857143,0.06743796235602584,1.7023907666941467,2023-8,4373.0,11434.666666666666,1.361079350560256,713.580487804878
810,2021,9,Europe,Model X,7322,7942,110107.04,82,455,499.73,Estimated (Region),12427,1.0846763179459165,0.0629224376731302,0.5892009334513559,2021-9,20529.0,13503.333333333334,-0.6433338204491208,1342.7687804878049
811,2024,5,Asia,Model S,10131,10941,57004.53,100,579,879.88,Interpolated (Month),12340,1.0799526206692331,0.08042043688876702,0.8209886547811993,2024-5,7384.0,9844.333333333334,0.3720205850487541,570.0453
812,2018,10,North America,Model Y,9362,10646,109071.56,60,352,494.31,Interpolated (Month),5013,1.1371501815851315,0.046431523576930304,1.86754438460004,2018-10,10325.0,8020.0,-0.09326876513317195,1817.8593333333333
813,2022,9,North America,Model X,13861,14807,98865.2,120,683,1420.06,Interpolated (Month),4918,1.0682490440805137,0.0959046396974404,2.818422122814152,2022-9,9362.0,11182.666666666666,0.4805597094637899,823.8766666666667
814,2023,1,Europe,Model S,12892,13400,52502.39,82,479,926.29,Interpolated (Month),8905,1.0394042817251008,0.06912611940298508,1.447725996631106,2023-1,7322.0,13581.0,0.760721114449604,640.2730487804878
815,2024,8,North America,Cybertruck,8278,9039,69077.18,100,563,699.08,Estimated (Region),4362,1.0919304179753564,0.07734041376258437,1.8977533241632278,2024-8,13861.0,10500.333333333334,-0.40278479186205907,690.7718
816,2020,2,Middle East,Model 3,9463,10065,100028.73,82,475,674.24,Interpolated (Month),6587,1.0636161893691218,0.06698857426726279,1.4366175800819796,2020-2,11639.0,9562.0,-0.1869576424091417,1219.8625609756098
817,2017,2,Asia,Model 3,5991,6294,51352.93,75,417,374.74,Estimated (Region),7963,1.0505758637956935,0.05953924372418176,0.7523546402109758,2017-2,10131.0,7835.333333333333,-0.4086467278649689,684.7057333333333
818,2023,7,Asia,Model 3,12374,13714,55953.05,75,420,779.56,Estimated (Region),3105,1.1082915791175045,0.05684410091876914,3.9851851851851854,2023-7,5991.0,9498.666666666666,1.0654314805541647,746.0406666666667
819,2020,4,Europe,Model S,14810,16490,105589.42,75,431,957.47,Official (Quarter),13736,1.1134368669817691,0.05806367495451789,1.0781887012230635,2020-4,12892.0,11674.666666666666,0.14877443375736887,1407.8589333333332
820,2021,6,Asia,Cybertruck,4618,5183,106179.25,120,689,477.27,Official (Quarter),6581,1.1223473365093113,0.09208373528844298,0.7017170642759459,2021-6,12374.0,7661.0,-0.6267981251010183,884.8270833333333
821,2024,3,Europe,Model 3,13755,14448,70602.52,75,445,918.15,Official (Quarter),12563,1.050381679389313,0.06354858803986711,1.094881795749423,2024-3,14810.0,13819.0,-0.0712356515867657,941.3669333333333
822,2017,7,Europe,Model X,8880,9964,97959.4,82,455,606.06,Official (Quarter),6470,1.122072072072072,0.06082496989160979,1.3724884080370943,2017-7,13755.0,12481.666666666666,-0.3544165757906216,1194.6268292682926
823,2025,8,Asia,Model 3,9563,10105,102342.21,82,488,700.01,Estimated (Region),12059,1.0566767750705846,0.06927362691736764,0.793017663156149,2025-8,4618.0,8851.666666666666,1.070809874404504,1248.0757317073171
824,2019,3,North America,Cybertruck,12106,13118,53822.72,75,448,813.52,Official (Quarter),9151,1.0835949116140757,0.0620155511510901,1.3229155283575567,2019-3,8278.0,11415.0,0.4624305387774825,717.6362666666666
825,2015,8,Asia,Model 3,10516,11614,114574.96,100,585,922.78,Interpolated (Month),4830,1.104412324077596,0.07945410711210607,2.1772256728778467,2015-8,9563.0,8232.333333333334,0.09965492000418275,1145.7496
826,2022,3,Middle East,Model X,11191,12382,116541.44,120,674,1131.41,Estimated (Region),11953,1.1064248056473953,0.09137538362138589,0.936250313728771,2022-3,9463.0,10764.333333333334,0.18260593892000432,971.1786666666667
827,2016,8,North America,Model 3,11469,11581,84129.98,120,662,1138.87,Official (Quarter),3751,1.0097654547039847,0.09833952163025644,3.057584644094908,2016-8,12106.0,10617.666666666666,-0.05261853626301005,701.0831666666667
828,2023,5,Asia,Cybertruck,8494,9483,93809.27,120,684,871.48,Interpolated (Month),6048,1.1164351306804803,0.09189918802066857,1.404431216931217,2023-5,10516.0,9524.333333333334,-0.19227843286420687,781.7439166666667
829,2018,1,Asia,Model 3,8115,9095,72972.56,75,420,511.24,Estimated (Region),4016,1.1207640172520024,0.056211105002748764,2.020667330677291,2018-1,8494.0,9041.666666666666,-0.04461973157522958,972.9674666666666
830,2019,5,North America,Model 3,6829,7204,77364.22,120,718,735.48,Official (Quarter),14455,1.0549128715770977,0.10209328151027207,0.47243168453822204,2019-5,11469.0,10134.666666666666,-0.4045688377365071,644.7018333333333
831,2020,3,North America,Model 3,10391,11708,105935.75,120,690,1075.47,Official (Quarter),5794,1.1267442979501492,0.09185770413392552,1.7934069727304107,2020-3,6829.0,9563.0,0.5215990628203251,882.7979166666667
832,2025,1,Europe,Model 3,14788,15440,103431.57,60,352,780.81,Official (Quarter),5949,1.0440898025426022,0.050570595854922275,2.485795932089427,2025-1,8880.0,12474.333333333334,0.6653153153153153,1723.8595
833,2015,2,North America,Model Y,8689,8698,85752.31,120,685,892.79,Estimated (Region),5665,1.0010357923811717,0.10264313635318463,1.5338040600176523,2015-2,10391.0,8636.333333333334,-0.16379559233952456,714.6025833333333
834,2015,8,Middle East,Model Y,787,894,75367.57,75,434,51.23,Estimated (Region),10587,1.135959339263024,0.05730425055928411,0.07433645036365354,2015-8,11191.0,7147.0,-0.92967563220445,1004.9009333333335
835,2022,1,North America,Model 3,10388,10764,111340.46,60,330,514.21,Interpolated (Month),11789,1.0361956103195995,0.04777127461910071,0.8811604037662227,2022-1,8689.0,9822.666666666666,0.19553458395672685,1855.6743333333334
836,2023,12,North America,Model X,11355,11397,76378.49,75,446,759.65,Estimated (Region),6295,1.0036988110964333,0.06665350530841449,1.8038125496425734,2023-12,10388.0,10144.0,0.09308817866769359,1018.3798666666668
837,2016,5,Asia,Model 3,364,393,65064.13,120,660,36.04,Interpolated (Month),5894,1.0796703296703296,0.09170483460559796,0.06175771971496437,2016-5,8115.0,5657.666666666667,-0.9551447935921134,542.2010833333333
838,2024,8,Europe,Model X,10413,10457,51043.72,60,333,520.13,Official (Quarter),6019,1.0042254873715548,0.04973988715692837,1.7300215982721383,2024-8,14788.0,11360.333333333334,-0.2958479848525831,850.7286666666666
839,2025,7,North America,Model Y,12448,12992,66408.4,60,345,644.18,Estimated (Region),4370,1.0437017994858613,0.04958282019704433,2.848512585812357,2025-7,11355.0,11397.0,0.09625715543813307,1106.8066666666666
840,2023,5,North America,Model X,9251,9823,103497.19,82,474,657.75,Interpolated (Month),3852,1.0618311533888227,0.06696019545963555,2.4016095534787123,2023-5,12448.0,11018.0,-0.25682840616966585,1262.1608536585366
841,2016,11,North America,Cybertruck,9155,10186,54970.54,82,454,623.46,Interpolated (Month),7257,1.112616056799563,0.06120753976045553,1.26154058150751,2016-11,9251.0,10284.666666666666,-0.010377256512809407,670.3724390243902
842,2025,10,Europe,Model X,9986,10201,96271.89,60,349,522.77,Estimated (Region),13175,1.0215301421990788,0.0512469365748456,0.7579506641366224,2025-10,10413.0,11729.0,-0.04100643426486128,1604.5315
843,2021,9,North America,Model X,3727,3854,50806.82,120,667,372.89,Official (Quarter),6711,1.034075664072981,0.0967540217955371,0.555356876769483,2021-9,9155.0,7377.666666666667,-0.5929000546149645,423.3901666666667
844,2018,11,Asia,Model X,7901,8031,111857.88,82,465,551.09,Interpolated (Month),11206,1.0164536134666498,0.0686203461586353,0.7050687131893628,2018-11,364.0,5460.0,20.706043956043956,1364.1204878048782
845,2017,9,North America,Model X,12043,13481,69036.22,120,701,1266.32,Estimated (Region),6168,1.1194054637548783,0.09393368444477412,1.952496757457847,2017-9,3727.0,8308.333333333334,2.231285215991414,575.3018333333333
846,2024,10,Asia,Model S,10792,10895,100028.12,82,472,764.07,Interpolated (Month),13810,1.0095441067457376,0.07013033501606242,0.7814627081824764,2024-10,7901.0,6352.333333333333,0.36590305024680414,1219.8551219512194
847,2016,4,Asia,Model 3,8734,9416,93651.0,60,332,434.95,Official (Quarter),12063,1.0780856423173804,0.04619265080713679,0.7240321644698665,2016-4,10792.0,9142.333333333334,-0.19069681245366943,1560.85
848,2016,6,Asia,Model 3,7667,8535,82237.76,60,355,408.27,Estimated (Region),11741,1.113212469023086,0.0478347978910369,0.6530108167958436,2016-6,8734.0,9064.333333333334,-0.12216624685138544,1370.6293333333333
849,2017,4,Europe,Model Y,9489,10197,64327.61,60,347,493.9,Estimated (Region),5233,1.0746127094530509,0.04843581445523193,1.8133002102044715,2017-4,9986.0,9962.666666666666,-0.04976967754856798,1072.1268333333333
850,2021,4,Asia,Model 3,11991,12463,58532.24,120,690,1241.07,Official (Quarter),10023,1.0393628554749395,0.09958035785926342,1.196348398683029,2021-4,7667.0,9464.0,0.5639754793269858,487.76866666666666
851,2023,1,Asia,Model X,10406,11745,77396.47,60,356,555.68,Estimated (Region),5882,1.128675763982318,0.047312047679863765,1.7691261475688542,2023-1,11991.0,10021.333333333334,-0.13218247018597284,1289.9411666666667
852,2023,9,Middle East,Model 3,12121,13398,52940.4,120,714,1298.16,Estimated (Region),8813,1.1053543437010147,0.09689207344379759,1.3753545898105073,2023-9,787.0,8033.0,14.401524777636595,441.17
853,2023,11,Middle East,Model X,10530,10951,80810.09,75,442,698.14,Interpolated (Month),10316,1.0399810066476733,0.06375125559309652,1.0207444746025591,2023-11,12121.0,7812.666666666667,-0.1312597970464483,1077.4678666666666
854,2016,4,Europe,Model 3,14910,17133,96328.74,100,577,1290.46,Estimated (Region),11767,1.1490945674044266,0.07532014241522209,1.2671029149315884,2016-4,9489.0,11461.666666666666,0.5712930761934871,963.2874
855,2016,3,Europe,Model X,12255,12614,50781.2345,75,436,801.48,Estimated (Region),13776,1.0292941656466748,0.06353892500396385,0.8895905923344948,2016-3,14910.0,12218.0,-0.17806841046277666,677.0831266666667
856,2017,11,Asia,Cybertruck,7450,7962,74585.36,120,665,743.14,Interpolated (Month),8833,1.068724832214765,0.0933358452650088,0.843428053888826,2017-11,10406.0,9949.0,-0.2840668844897175,621.5446666666667
857,2023,1,Middle East,Model Y,8340,9123,100931.53,100,583,729.33,Estimated (Region),8646,1.0938848920863309,0.07994409733640251,0.9646079111727967,2023-1,10530.0,10330.333333333334,-0.20797720797720798,1009.3153
858,2017,8,Asia,Model S,14800,15762,119249.2584,82,473,1050.06,Estimated (Region),6853,1.065,0.06661971830985915,2.1596381146942947,2017-8,7450.0,10885.333333333334,0.9865771812080537,1454.259248780488
859,2025,4,Asia,Model S,8531,9254,94611.34,120,704,900.87,Interpolated (Month),5172,1.0847497362560075,0.09734925437648584,1.6494586233565351,2025-4,14800.0,10260.333333333334,-0.42358108108108106,788.4278333333333
860,2023,6,North America,Model 3,9176,10500,95752.21,82,485,667.55,Official (Quarter),9302,1.1442894507410637,0.06357619047619047,0.9864545259084068,2023-6,12043.0,8315.333333333334,-0.23806360541393345,1167.7098780487806
861,2019,7,Asia,Cybertruck,11985,13202,97786.98,60,348,625.62,Estimated (Region),6193,1.101543596161869,0.04738827450386305,1.9352494752139513,2019-7,8531.0,11772.0,0.4048763333724066,1629.783
862,2022,9,Europe,Model X,8462,9003,88641.27,60,336,426.48,Official (Quarter),11922,1.0639328763885607,0.04737087637454182,0.7097802382150646,2022-9,12255.0,11875.666666666666,-0.30950632394940836,1477.3545000000001
863,2022,2,Asia,Cybertruck,6490,6571,53659.35,60,337,328.07,Interpolated (Month),3890,1.0124807395993836,0.049926951757723326,1.6683804627249357,2022-2,11985.0,9002.0,-0.45848977889027953,894.3225
864,2020,11,Middle East,Model Y,7457,7607,95132.97,75,425,475.38,Official (Quarter),11495,1.0201153278798445,0.06249244117260418,0.6487168334058286,2020-11,8340.0,8775.666666666666,-0.10587529976019183,1268.4396
865,2023,12,Asia,Model X,8534,8672,85621.34,75,429,549.16,Official (Quarter),14418,1.0161706116709632,0.06332564575645756,0.5918990151199889,2023-12,6490.0,9003.0,0.3149460708782743,1141.6178666666667
866,2024,5,Europe,Model X,8375,9325,71668.72,82,488,613.05,Estimated (Region),10880,1.1134328358208956,0.0657426273458445,0.7697610294117647,2024-5,8462.0,9697.333333333334,-0.010281257385960751,874.0087804878049
867,2019,1,Middle East,Model Y,9910,11266,92725.41,60,346,514.33,Official (Quarter),5996,1.1368314833501514,0.04565329309426594,1.652768512341561,2019-1,7457.0,8569.0,0.32895266192838934,1545.4235
868,2023,3,Middle East,Model X,4694,4872,110345.89,82,487,342.9,Official (Quarter),5329,1.037920749893481,0.07038177339901477,0.8808406830549822,2023-3,9910.0,7353.666666666667,-0.5263370332996973,1345.6815853658536
869,2025,10,North America,Model Y,5998,6291,59349.08,60,344,309.5,Interpolated (Month),11960,1.0488496165388463,0.04919726593546336,0.501505016722408,2025-10,9176.0,9072.333333333334,-0.3463382737576286,989.1513333333334
870,2021,1,Middle East,Model X,7651,8241,64010.79,75,424,486.6,Interpolated (Month),10101,1.077114102731669,0.05904623225336731,0.7574497574497574,2021-1,4694.0,7418.333333333333,0.6299531316574349,853.4772
871,2021,9,Asia,Model 3,7479,7809,51068.54,82,460,516.05,Interpolated (Month),6383,1.0441235459286,0.06608400563452427,1.1717060943130189,2021-9,8534.0,7501.0,-0.12362315444105931,622.7870731707317
872,2015,1,Asia,Model Y,12446,13885,55183.13,60,340,634.75,Official (Quarter),4390,1.1156194761369114,0.04571480014404033,2.8350797266514807,2015-1,7479.0,9486.333333333334,0.6641262200828988,919.7188333333332
873,2018,8,Asia,Model Y,9090,9771,97242.52,82,460,627.21,Interpolated (Month),12096,1.0749174917491748,0.06419097328830212,0.7514880952380952,2018-8,12446.0,9671.666666666666,-0.26964486582034386,1185.8843902439025
874,2019,7,Europe,Model X,8165,8713,78383.02,60,359,439.69,Official (Quarter),6506,1.067115737905695,0.05046367496843797,1.2549953888718106,2019-7,8375.0,8334.0,-0.025074626865671634,1306.3836666666668
875,2018,5,Europe,Model Y,16359,17254,94867.59,82,470,1153.31,Official (Quarter),5279,1.0547099455956965,0.0668430508867509,3.098882364084107,2018-5,8165.0,10966.333333333334,1.0035517452541334,1156.9218292682926
876,2024,7,North America,Model X,14181,15135,118547.38,82,490,1042.3,Estimated (Region),6949,1.0672731119103025,0.06886686488272216,2.040725284213556,2024-7,5998.0,9785.0,1.3642880960320105,1445.699756097561
877,2017,2,Asia,Cybertruck,12861,13866,118320.97,75,417,804.46,Interpolated (Month),3203,1.0781432236995567,0.05801673157363335,4.015298157976897,2017-2,9090.0,11465.666666666666,0.4148514851485148,1577.6129333333333
878,2016,9,Europe,Cybertruck,12186,13009,102417.84,75,436,796.96,Interpolated (Month),10451,1.0675365173149516,0.061262203090168346,1.1660128217395465,2016-9,16359.0,12236.666666666666,-0.25508894186686226,1365.5711999999999
879,2020,1,Middle East,Model 3,12862,12915,67265.95,100,572,1103.56,Estimated (Region),10542,1.0041206655263568,0.08544792876500193,1.2200720925820527,2020-1,7651.0,8402.333333333334,0.6810874395503856,672.6595
880,2016,4,Asia,Model Y,9390,9760,75209.55,75,415,584.53,Interpolated (Month),14243,1.0394036208732695,0.05989036885245901,0.6592712209506424,2016-4,12861.0,10447.0,-0.26988570095637976,1002.794
881,2023,8,Asia,Model 3,9162,9238,69917.84,120,709,974.38,Official (Quarter),3958,1.0082951320672342,0.10547521108465036,2.3148054573016674,2023-8,9390.0,10471.0,-0.024281150159744413,582.6486666666666
882,2019,3,Middle East,Model X,7494,7784,72152.0,120,665,747.53,Estimated (Region),6638,1.0386976247664799,0.0960341726618705,1.1289545043687859,2019-3,12862.0,9335.666666666666,-0.4173534442543928,601.2666666666667
883,2018,9,Asia,Model S,10714,11018,100426.88,82,471,756.94,Official (Quarter),10251,1.0283740899757328,0.06870030858595026,1.0451663252365624,2018-9,9162.0,9755.333333333334,0.16939532853088846,1224.7180487804878
884,2019,5,North America,Cybertruck,5490,5540,99109.57,75,412,339.28,Official (Quarter),7910,1.0091074681238617,0.06124187725631768,0.6940581542351454,2019-5,14181.0,8556.333333333334,-0.6128622805161836,1321.4609333333335
